image no. ,Numeric_Label,Image_File,,
1,16,#1-6000K-cropped.JPG,,
2,16,#1-3400K-cropped.JPG,,
3,3,#2-6000K-cropped.JPG,,
4,3,#2-3400K-cropped.JPG,,
5,32,#3-6000K-cropped.JPG,,
6,32,#3-3400K-cropped.JPG,,
7,22,#4-6000K-cropped.JPG,,
8,22,#4-3400K-cropped.JPG,,
9,75,#5-6000K-cropped.JPG,,
10,75,#5-3400K-cropped.JPG,,
11,2,#6-6000K-cropped.JPG,,
12,2,#6-3400K-cropped.JPG,,
13,22,#7-6000K-cropped.JPG,,
14,22,#7-3400K-cropped.JPG,,
15,17,#8-6000K-cropped.JPG,,
16,17,#8-3400K-cropped.JPG,,
17,29,#9-6000K-cropped.JPG,,
18,29,#9-3400K-cropped.JPG,,
19,14,#10-6000K-cropped.JPG,,
20,14,#10-3400K-cropped.JPG,,
21,77,#11-6000K-cropped.JPG,,
22,77,#11-3400K-cropped.JPG,,
23,31,#12-6000K-cropped.JPG,,
24,31,#12-3400K-cropped.JPG,,
25,60,#13-6000K-cropped.JPG,,
26,60,#13-3400K-cropped.JPG,,
27,11,#14-6000K-cropped.JPG,,
28,11,#14-3400K-cropped.JPG,,
29,36,#15-6000K-cropped.JPG,,
30,36,#15-3400K-cropped.JPG,,
31,10,#16-6000K-cropped.JPG,,
32,10,#16-3400K-cropped.JPG,,
33,92,#17-6000K-cropped.JPG,,
34,92,#17-3400K-cropped.JPG,,
35,68,#18-6000K-cropped.JPG,,
36,68,#18-3400K-cropped.JPG,,
37,34,#19-6000K-cropped.JPG,,
38,34,#19-3400K-cropped.JPG,,
39,17,#20-6000K-cropped.JPG,,
40,17,#20-3400K-cropped.JPG,,
41,3,#21-6000K-cropped.JPG,,
42,3,#21-3400K-cropped.JPG,,
43,50,#22-6000K-cropped.JPG,,
44,50,#22-3400K-cropped.JPG,,
45,2,#23-6000K-cropped.JPG,,
46,2,#23-3400K-cropped.JPG,,
47,61,#24-6000K-cropped.JPG,,
48,61,#24-3400K-cropped.JPG,,
49,34,#25-6000K-cropped.JPG,,
50,34,#25-3400K-cropped.JPG,,
51,42,#26-6000K-cropped.JPG,,
52,42,#26-3400K-cropped.JPG,,
53,81,#27-6000K-cropped.JPG,,
54,81,#27-3400K-cropped.JPG,,
55,11,#28-6000K-cropped.JPG,,
56,11,#28-3400K-cropped.JPG,,
57,53,#29-6000K-cropped.JPG,,
58,53,#29-3400K-cropped.JPG,,
59,81,#30-6000K-cropped.JPG,,
